original_cat,cat_l2,cat_l1
candy,candy & gummy,sweets & confectionery
"popcorn, peanuts, seeds & related snacks",popcorn & puffed snacks,snacks
cookies & biscuits,cookies & biscuits,baked goods
breads & buns,bread,grains & pasta
"pickles, olives, peppers & relishes","pickles, olives & peppers",vegetables
cheese,cheese,dairy & eggs
"cakes, cupcakes, snack cakes",cakes & pastries,baked goods
"seasoning mixes, salts, marinades & tenderizers",seasoning & spices,condiments & sauces
ice cream & frozen yogurt,ice cream & frozen yogurt,dairy & eggs
"chips, pretzels & snacks",chips & crisps,snacks
other snacks,other snacks,snacks
dips & salsa,salsa & dips,condiments & sauces
soda,soda & soft drinks,beverages
pasta by shape & type,pasta & noodles,grains & pasta
chocolate,chocolate,sweets & confectionery
pre packaged fruit & vegetables,fresh vegetables,vegetables
cereal,cereal,grains & pasta
yogurt,yogurt,dairy & eggs
"ketchup, mustard, bbq & cheese sauce",ketchup & mustard,condiments & sauces
wholesome snacks,other snacks,snacks
baking decorations & dessert toppings,other snacks,snacks
salad dressing & mayonnaise,salad dressing & mayonnaise,condiments & sauces
other drinks,other beverages,beverages
frozen appetizers & hors d'oeuvres,other snacks,snacks
"snack, energy & granola bars",snack bars,snacks
frozen dinners & entrees,frozen dinners & entrees,prepared & frozen meals
crackers & biscotti,crackers,baked goods
"pepperoni, salami & cold cuts",processed meats & cold cuts,meat
"sausages, hotdogs & brats",sausages & hot dogs,meat
"jam, jelly & fruit spreads",jams & spreads,sweets & confectionery
"oriental, mexican & ethnic sauces",cooking sauces,condiments & sauces
frozen fish & seafood,frozen fish & seafood,fish & seafood
water,water,beverages
frozen vegetables,frozen vegetables,vegetables
herbs & spices,seasoning & spices,condiments & sauces
"cake, cookie & cupcake mixes",baking mixes,baked goods
canned vegetables,canned vegetables,vegetables
powdered drinks,powdered drinks,beverages
other soups,prepared soup,soups
prepared pasta & pizza sauces,cooking sauces,condiments & sauces
vegetable & cooking oils,vegetable & cooking oils,fats & oils
pizza,pizza,prepared & frozen meals
other meats,other meats,meat
other deli,processed meats & cold cuts,meat
other cooking sauces,cooking sauces,condiments & sauces
iced & bottle tea,tea,beverages
other frozen desserts,dairy desserts,dairy & eggs
milk,milk,dairy & eggs
chewing gum & mints,chewing gum & mints,sweets & confectionery
syrups & molasses,honey & syrups,sweets & confectionery
frozen fruit & fruit juice concentrates,frozen vegetables,vegetables
canned soup,canned soup,soups
"granulated, brown & powdered sugar",sugar,sweets & confectionery
plant based milk,plant-based milk,plant-based alternatives
butter & spread,butter & cream,dairy & eggs
tea bags,tea,beverages
"energy, protein & muscle recovery drinks",energy & sport drinks,beverages
canned & bottled beans,canned beans,legumes & beans
canned seafood,canned & smoked fish,fish & seafood
fish & seafood,fresh fish,fish & seafood
flours & corn meal,flour & corn meal,grains & pasta
other grains & seeds,other grains,grains & pasta
canned fruit,canned & preserved fruits,fruits
mexican dinner mixes,prepared meals,prepared & frozen meals
nut & seed butters,jams & spreads,sweets & confectionery
vegetable and lentil mixes,prepared meals,prepared & frozen meals
frozen bread & dough,bread,grains & pasta
alcohol,alcoholic beverages,beverages
"entrees, sides & small meals",prepared meals,prepared & frozen meals
tomatoes,fresh vegetables,vegetables
deli salads,salads,vegetables
all noodles,pasta & noodles,grains & pasta
milk additives,milk,dairy & eggs
frozen patties and burgers,frozen dinners & entrees,prepared & frozen meals
rice,rice,grains & pasta
puddings & custards,dairy desserts,dairy & eggs
bread & muffin mixes,baking mixes,baked goods
crusts & dough,crusts & dough,baked goods
honey,honey & syrups,sweets & confectionery
"gelatin, gels, pectins & desserts",dairy desserts,dairy & eggs
prepared subs & sandwiches,sandwiches & wraps,prepared & frozen meals
"bacon, sausages & ribs",processed meats & cold cuts,meat
baking additives & extracts,baking additives & extracts,baked goods
pasta dinners,frozen dinners & entrees,prepared & frozen meals
cooked & prepared,prepared meals,prepared & frozen meals
cream,butter & cream,dairy & eggs
"french fries, potatoes & onion rings",other snacks,snacks
flavored rice dishes,prepared meals,prepared & frozen meals
canned meat,processed meats & cold cuts,meat
prepared soups,prepared soup,soups
sushi,prepared meals,prepared & frozen meals
frozen prepared sides,frozen dinners & entrees,prepared & frozen meals
"frozen breakfast sandwiches, biscuits & meals",frozen dinners & entrees,prepared & frozen meals
eggs & egg substitutes,eggs,dairy & eggs
chili & stew,prepared meals,prepared & frozen meals
pizza mixes & other dry dinners,baking mixes,baked goods
sport drinks,energy & sport drinks,beverages
liquid water enhancer,other beverages,beverages
"poultry, chicken & turkey",other poultry,poultry
flavored snack crackers,crackers,baked goods
lunch snacks & combinations,other snacks,snacks
prepared wraps and burittos,sandwiches & wraps,prepared & frozen meals
vegetarian frozen meats,frozen dinners & entrees,prepared & frozen meals
gravy mix,seasoning & spices,condiments & sauces
plant based water,plant-based other,plant-based alternatives
pastry shells & fillings,cakes & pastries,baked goods
canned tuna,canned & smoked fish,fish & seafood
sauces/spreads/dips/condiments,cooking sauces,condiments & sauces
coffee,coffee,beverages
biscuits/cookies,cookies & biscuits,baked goods
other condiments,seasoning & spices,condiments & sauces
stuffing,prepared meals,prepared & frozen meals
fish  unprepared/unprocessed,fresh fish,fish & seafood
"frozen bacon, sausages & ribs",sausages & hot dogs,meat
"frozen poultry, chicken & turkey",frozen dinners & entrees,prepared & frozen meals
"frozen sausages, hotdogs & brats",sausages & hot dogs,meat
meat/poultry/other animals  unprepared/unprocessed,other meats,meat
canned condensed soup,canned soup,soups
"pancakes, waffles, french toast & crepes",cakes & pastries,baked goods
meat/poultry/other animals  prepared/processed,processed meats & cold cuts,meat
specialty formula supplements,dietary supplements,supplements
shellfish unprepared/unprocessed,shellfish,fish & seafood
vegetables and vegetable products,fresh vegetables,vegetables
other frozen meats,frozen dinners & entrees,prepared & frozen meals
meal replacement supplements,dietary supplements,supplements
"breakfast sandwiches, biscuits & meals",sandwiches & wraps,prepared & frozen meals
bread,bread,grains & pasta
fruits and fruit juices,fresh fruits,fruits
finfish and shellfish products,frozen fish & seafood,fish & seafood
baked products,baking mixes,baked goods
sweets,other snacks,snacks
fast foods,fast foods & restaurant foods,prepared & frozen meals
"soups, sauces, and gravies",prepared soup,soups
dough based products / meals,crusts & dough,baked goods
fish,fresh fish,fish & seafood
herbs/spices/extracts,seasoning & spices,condiments & sauces
snacks,other snacks,snacks
processed cereal products,cereal,grains & pasta
liquor and cocktails,alcoholic beverages,beverages
sweet bakery products,cakes & pastries,baked goods
non alcoholic beverages  ready to drink,other beverages,beverages
health care,undefined,other
other vegetables and combinations,fresh vegetables,vegetables
"biscuits, muffins, quick breads",bread,grains & pasta
vegetables  prepared/processed,canned vegetables,vegetables
sausages and luncheon meats,processed meats & cold cuts,meat
