item_name,cat,kcal_100g,fat_100g,carbs_100g,protein_100g,source,cat_l1,cat_l2,cat_l3,item_name_word_count
greek yogurt,greek-style yogurts,86.666666666667,1.6666666666667,10.666666666667,7.3333333333333,off,dairy & eggs,yogurt,greek-style yogurts,2
shake mix vanilla flavour,dietary supplements,376.0,7.2,42.0,36.0,off,supplements,dietary supplements,dietary supplements,4
german fine bread,breads,263.0,3.51,52.63,7.02,off,grains & pasta,bread,breads,3
sourdough bread,sliced breads,214.285714285714,1.403875,59.11805,8.3909925,off,grains & pasta,bread,sliced breads,2
cracked wheat sourdough bread,sourdough breads,211.538461538462,0.961538461538462,46.1538461538462,7.69230769230769,off,grains & pasta,bread,sourdough breads,4
seriously salt and vinegar,salt and vinegar crisps,512.0,29.2,52.0,6.0,off,,,salt and vinegar crisps,4
bakers best white bread,breads,235.0,1.47,50.0,8.82,off,grains & pasta,bread,breads,4
bakers best rye bread,breads,256.0,2.56,53.85,7.69,off,grains & pasta,bread,breads,4
gluten free multigrain bread,gluten-free breads,156.010056985294,1.90959191176471,33.5025772058824,2.37644724264706,off,grains & pasta,bread,gluten-free breads,4
salami de dinde,turkey salami,297.0,23.0,5.4,17.1,off,meat,processed meats & cold cuts,turkey salami,3
bonbons de chocolat assortis,confectioneries,491.0,33.74,39.62,6.23,off,snacks,other snacks,confectioneries,4
mini bagels,breads,279.0,2.33,58.14,9.3,off,grains & pasta,bread,breads,2
apple cider,apple juices,45.83333,0.0,11.66667,0.41667,off,fruits,fruit juices,apple juices,2
pain mie toast nature canape,breads,290.0,6.0,49.0,8.6,off,grains & pasta,bread,breads,5
barretta sostitutivo pasto,protein energy bars,362.0,12.0,32.0,28.0,off,snacks,snack bars,protein energy bars,3
mini baguette,breads,248.0,3.70000004768372,46.0,4.40000009536743,off,grains & pasta,bread,breads,2
low fat yogurt vanilla,yogurts,128.0,1.54,24.67,3.96,off,dairy & eggs,yogurt,yogurts,4
bircher muesli,yogurts with cereals,177.894736842105,8.2,20.4,4.6,off,dairy & eggs,yogurt,yogurts with cereals,2
vegan protein neutral flavour,cooked shrimps,70.5882352941177,1.17647058823529,0.0,15.2941176470588,off,,,cooked shrimps,4
chilli con carne,chili con carne with side dishes,119.0,2.7,18.0,5.5,off,prepared & frozen meals,prepared meals,chili con carne with side dishes,3
giant white enriched bread white,breads,269.0,3.85,46.15,7.69,off,grains & pasta,bread,breads,5
greek nonfat yogurt,greek-style yogurts,82.0,0.0,12.94,8.24,off,dairy & eggs,yogurt,greek-style yogurts,3
italian bread,breads,228.0,1.75,45.61,8.77,off,grains & pasta,bread,breads,2
french bread,breads,228.0,1.75,45.61,8.77,off,grains & pasta,bread,breads,2
plain greek nonfat yogurt plain,yogurts,59.0,0.0,4.12,10.0,off,dairy & eggs,yogurt,yogurts,5
vanilla greek nonfat yogurt vanilla,yogurts,76.0,0.0,10.0,8.82,off,dairy & eggs,yogurt,yogurts,5
seasoned french croutons,breads,333.0,20.0,33.33,6.67,off,grains & pasta,bread,breads,3
stone ground wheat bread,breads,226.0,3.23,38.71,12.9,off,grains & pasta,bread,breads,4
multi grain bread,breads,263.0,3.95,44.74,10.53,off,grains & pasta,bread,breads,3
bread hearty rye,breads,242.0,3.03,45.45,9.09,off,grains & pasta,bread,breads,3
homestyle potato bread,breads,242.0,3.03,48.48,9.09,off,grains & pasta,bread,breads,3
nonfat yogurt blueberry,yogurts,53.0,0.0,10.59,2.94,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt vanilla,yogurts,53.0,0.0,10.59,2.94,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt peach,yogurts,53.0,0.0,10.0,2.94,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt strawberry,yogurts,53.0,0.0,10.59,2.94,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt blackberry,yogurts,53.0,0.0,10.0,2.94,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt banana cream pie,yogurts,53.0,0.0,10.0,2.94,off,dairy & eggs,yogurt,yogurts,5
lowfat yogurt blueberry,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,3
lowfat yogurt strawberry banana,yogurts,94.0,0.88,18.24,2.94,off,dairy & eggs,yogurt,yogurts,4
lowfat yogurt peach,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,3
lowfat yogurt mixed berry,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,4
lowfat yogurt vanilla,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt plain,yogurts,53.0,0.0,8.37,3.96,off,dairy & eggs,yogurt,yogurts,3
blended lowfat yogurt vanilla,yogurts,93.0,0.88,18.06,3.08,off,dairy & eggs,yogurt,yogurts,4
lowfat yogurt plain,yogurts,66.0,1.98,7.49,5.29,off,dairy & eggs,yogurt,yogurts,3
nonfat yogurt with aspartame vanilla,yogurts,62.0,0.0,11.01,3.96,off,dairy & eggs,yogurt,yogurts,5
fresh bake baguette,breads,196.0,0.0,42.86,7.14,off,grains & pasta,bread,breads,3
greek nonfat yogurt,yogurts,59.0,0.0,4.12,10.0,off,dairy & eggs,yogurt,yogurts,3
lowfat yogurt black cherry,yogurts,94.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,4
croutons garlic butter focaccia,breads,429.0,14.29,71.43,14.29,off,grains & pasta,bread,breads,4
greek nonfat yogurt coconut,yogurts,80.0,0.0,12.67,8.67,off,dairy & eggs,yogurt,yogurts,4
greek nonfat yogurt key lime,greek-style yogurts,80.0,0.0,12.67,8.67,off,dairy & eggs,yogurt,greek-style yogurts,5
blended nonfat greek yogurt strawberry,yogurts,84.0,0.0,12.78,8.37,off,dairy & eggs,yogurt,yogurts,5
blended greek nonfat yogurt pumpkin,yogurts,87.0,0.0,12.67,8.67,off,dairy & eggs,yogurt,yogurts,5
lowfat yogurt orange cream,yogurts,88.0,0.88,17.65,2.94,off,dairy & eggs,yogurt,yogurts,4
organic seeded bread,breads,244.0,3.33,46.67,11.11,off,grains & pasta,bread,breads,3
organic bread sprouted honey oat,breads,244.0,2.22,48.89,13.33,off,grains & pasta,bread,breads,5
organic sprouted grain bread,breads,256.0,2.33,44.19,13.95,off,grains & pasta,bread,breads,4
aussiestyle yogurt blueberry,yogurts,128.0,4.85,15.42,6.17,off,dairy & eggs,yogurt,yogurts,3
aussie style yogurt strawberry,yogurts,123.0,4.41,14.98,6.17,off,dairy & eggs,yogurt,yogurts,4
aussie style yogurt raspberry,yogurts,123.0,4.85,14.54,6.17,off,dairy & eggs,yogurt,yogurts,4
ciabatta bread,breads,246.0,0.0,50.88,8.77,off,grains & pasta,bread,breads,2
french demi baguettes bread,baguettes,246.0,0.0,50.88,8.77,off,grains & pasta,bread,baguettes,4
bread asiago and garlic,breads,246.0,3.51,42.11,8.77,off,grains & pasta,bread,breads,4
croutons garlic and butter,breads,429.0,14.29,71.43,14.29,off,grains & pasta,bread,breads,4
seedless soft rye bread,breads,259.0,1.85,44.44,11.11,off,grains & pasta,bread,breads,4
enriched white bread,white breads,255.0,3.19,48.94,8.51,off,grains & pasta,bread,white breads,3
light wheat bread,breads,171.0,1.22,39.02,9.76,off,grains & pasta,bread,breads,3
milano italian bread,breads,233.0,3.33,46.67,10.0,off,grains & pasta,bread,breads,3
split top wheat bread,breads,259.0,3.7,48.15,11.11,off,grains & pasta,bread,breads,4
artisan baguette,breads,196.0,0.0,42.86,7.14,off,grains & pasta,bread,breads,2
artisan ciabatta,breads,246.0,0.88,49.12,8.77,off,grains & pasta,bread,breads,2
bread roasted garlic,breads,246.0,0.88,50.88,8.77,off,grains & pasta,bread,breads,3
bread italian peasant,breads,246.0,0.88,52.63,8.77,off,grains & pasta,bread,breads,3
pita bread,pitas,329.11392405063,8.8607594936709,51.898734177215,8.8607594936709,off,grains & pasta,bread,pitas,2
victoria plum and bergamot yogurt,yogurts,126.0,6.7,13.7,2.8,off,dairy & eggs,yogurt,yogurts,5
oikos triple zero,flavoured yogurts,106.0,0.0,10.0,15.0,off,dairy & eggs,yogurt,flavoured yogurts,3
greek nonfat yogurt peach,yogurts,53.0,0.0,5.33,8.0,off,dairy & eggs,yogurt,yogurts,4
greek yoghurt,,134.0,10.1,4.2,6.4,off,,,,2
handmade chocolate bread chocolate,breads,404.0,10.53,56.14,7.02,off,grains & pasta,bread,breads,4
yogurt parfait,low-fat yogurts,123.0,1.64,22.95,3.28,off,dairy & eggs,yogurt,low-fat yogurts,2
everything bagels,breads,282.352941176471,2.35294117647059,55.2941176470588,9.41176470588235,off,grains & pasta,bread,breads,2
hamburger,hamburgers,279.0,5.81,44.19,9.3,off,prepared & frozen meals,prepared meals,hamburgers,1
multigrain bread,breads,256.0,5.81,39.53,9.3,off,grains & pasta,bread,breads,2
sandwich bread classic white,breads,286.0,3.57,50.0,10.71,off,grains & pasta,bread,breads,4
classic french bread,breads,240.0,2.81,43.86,8.77,off,grains & pasta,bread,breads,3
greek style natural yogurt,yogurts high in protein on a fruit layer,64.0,0.4,8.0,7.0,off,dairy & eggs,yogurt,yogurts high in protein on a fruit layer,4
greek nonfat yogurt,greek-style yogurts,124.0,0.0,19.0,12.0,off,dairy & eggs,yogurt,greek-style yogurts,3
greek style yogurts unsweetened,greek-style yogurts,124.0,9.6,5.4,4.1,off,dairy & eggs,yogurt,greek-style yogurts,4
